probes,count
169,1
164,1
222,1
205,1
211,1
233,1
188,1
158,1
175,1
196,1
137,2
187,1
216,1
147,2
193,2
214,1
132,2
139,1
116,2
145,2
221,1
170,1
243,1
242,1
235,1
189,1
126,4
168,1
117,2
163,1
128,2
210,1
136,4
122,3
174,2
130,2
120,4
105,1
108,5
131,4
135,3
162,2
182,2
218,1
185,1
121,4
143,1
133,2
177,1
115,4
106,3
144,2
195,1
160,4
129,5
159,1
156,2
45,131
51,87
42,195
46,123
49,105
43,165
39,237
55,69
58,68
36,247
44,159
37,250
48,124
41,201
38,210
32,396
40,203
92,17
33,317
35,288
34,299
23,874
150,2
27,566
28,528
9,5654
10,4697
8,7145
7,8757
134,4
65,37
263,1
6,11449
5,15259
63,48
4,21699
3,32444
15,2148
61,37
2,56193
31,437
60,59
1,120482
30,491
13,2935
59,62
0,480511
127,4
29,503
11,3911
138,2
12,3411
271,1
14,2431
16,1842
17,1640
79,22
20,1203
18,1466
19,1297
146,3
26,654
153,3
21,1084
25,726
152,4
22,953
24,805
52,94
47,122
53,83
67,43
57,69
99,17
54,85
181,1
50,98
64,50
74,36
73,36
66,40
81,30
77,23
84,19
102,10
71,26
198,2
78,19
72,37
80,15
56,64
89,13
70,50
62,67
85,15
83,17
91,13
88,18
118,3
119,5
100,8
69,30
76,26
68,34
101,10
112,4
104,7
82,24
87,7
97,11
96,10
114,4
93,9
86,18
103,6
90,10
75,23
109,11
236,1
94,5
125,2
95,7
110,8
98,8
111,4
113,5
107,4
124,2
