probes,count
397,1
476,1
518,1
463,2
468,1
361,1
306,3
508,2
416,1
369,2
428,1
293,2
380,1
538,1
436,1
415,1
332,1
480,1
435,1
343,3
464,3
426,2
348,2
885,1
344,2
383,1
534,1
318,2
368,2
531,1
533,2
430,1
382,1
456,2
407,1
319,1
391,1
406,1
385,1
501,1
832,1
291,3
457,1
494,2
509,2
398,1
444,1
367,1
279,5
342,1
275,5
339,5
898,1
357,2
409,2
290,4
370,2
313,2
454,2
490,1
452,1
273,3
381,2
453,1
405,2
427,1
511,1
395,1
349,2
371,6
437,2
505,1
360,1
266,8
261,5
338,1
325,2
798,1
257,2
238,8
403,2
429,1
386,6
241,7
401,1
379,3
412,2
408,4
540,2
364,2
411,2
323,4
433,1
305,1
517,1
295,3
269,2
314,2
438,4
282,3
390,2
434,1
392,3
447,1
256,7
419,4
324,3
354,2
309,4
506,2
347,3
375,1
400,3
442,3
326,2
432,3
421,1
376,1
414,1
244,12
237,9
310,7
327,3
331,4
315,3
274,7
278,3
377,6
294,5
217,7
356,7
803,1
262,4
329,5
387,2
304,4
334,5
424,4
389,2
366,5
410,2
355,2
312,5
417,2
346,2
388,1
445,2
316,6
499,2
471,2
472,1
384,2
301,2
286,10
231,11
289,6
466,2
365,2
352,3
513,1
350,2
247,4
826,1
285,6
485,3
192,13
249,7
308,4
252,7
245,6
230,11
333,6
307,4
455,3
268,7
330,5
264,3
250,6
420,1
335,4
209,7
311,2
288,7
439,1
345,3
372,1
337,3
303,3
399,1
254,6
351,3
287,7
234,13
246,11
322,4
240,4
467,1
317,2
220,8
213,17
258,7
191,17
277,6
172,22
362,2
297,6
248,5
443,2
363,3
373,4
481,1
299,9
811,1
270,7
253,7
161,19
124,60
107,72
113,80
111,86
98,104
651,1
110,79
95,106
125,52
94,120
236,9
109,80
75,173
90,133
103,94
627,1
86,146
634,1
93,95
114,70
96,113
353,1
97,113
87,133
623,1
82,143
104,95
653,1
112,57
101,106
358,4
68,214
76,198
69,240
100,90
119,72
118,53
88,138
91,129
83,134
340,6
85,137
62,251
70,230
89,156
56,338
80,156
72,208
78,157
198,17
71,203
328,7
102,80
359,3
84,138
341,6
618,1
77,191
81,179
66,247
73,216
74,184
64,267
321,5
50,447
181,17
54,347
640,1
99,93
57,330
67,207
53,362
47,441
52,377
24,1601
822,1
281,1
22,1898
152,36
25,1547
21,2072
153,42
26,1418
283,7
146,29
19,2422
276,4
18,2640
20,2205
79,170
17,2877
557,1
16,3192
555,1
14,3927
271,5
12,5159
138,49
552,1
11,5803
570,1
29,1191
127,43
0,495672
600,1
59,289
13,4506
30,1159
1,129024
60,311
31,1113
2,62377
259,7
61,235
15,3521
272,5
3,37428
260,13
545,1
4,25754
63,247
320,6
5,18956
6,14580
263,7
65,239
134,59
7,11457
8,9638
265,5
10,6774
267,8
9,7856
569,1
28,1253
27,1303
284,8
150,39
23,1780
280,3
575,1
34,840
35,846
292,6
574,1
33,905
92,139
40,638
32,974
38,687
41,636
298,4
48,459
37,724
585,1
44,551
577,1
36,806
58,308
55,321
580,2
39,700
296,4
43,581
300,7
590,1
49,424
46,474
42,608
592,1
51,414
586,1
45,520
302,3
156,26
159,31
670,1
129,67
160,34
195,20
144,48
106,84
656,1
115,59
177,32
133,49
143,31
121,66
185,16
218,7
182,21
162,23
135,43
131,57
108,75
105,84
120,65
130,64
174,25
122,55
136,42
751,1
210,20
669,1
128,59
163,22
117,56
709,1
168,27
126,67
189,18
235,13
242,13
243,8
170,29
221,15
145,41
657,1
116,75
139,49
673,1
132,52
214,18
193,19
688,1
147,40
404,3
216,21
187,26
137,49
196,21
175,23
158,34
188,14
233,10
752,1
211,19
205,10
222,11
164,34
169,27
215,14
141,42
165,33
142,33
171,28
179,28
123,49
176,28
199,18
207,16
184,21
229,11
201,13
149,37
178,22
224,18
186,16
203,14
206,15
226,8
155,31
692,1
151,37
681,2
140,37
183,31
154,22
148,39
173,29
157,25
166,31
167,31
223,11
200,13
197,23
255,9
227,13
190,26
239,10
225,16
232,13
208,11
194,13
202,11
219,9
212,12
251,6
204,12
180,11
769,2
228,7
