probes,count
162,2
161,1
160,1
158,15
139,17
137,26
135,37
148,31
147,30
149,25
131,67
156,11
157,9
140,26
125,78
136,32
121,76
153,28
118,65
116,121
144,28
128,34
126,59
159,7
120,59
130,82
155,18
91,253
134,49
127,46
142,53
112,167
152,30
115,153
101,259
151,12
46,3728
44,4133
33,7375
41,4452
45,3912
23,13582
150,14
17,19792
35,6153
106,294
47,3476
29,9090
43,4221
16,21310
143,29
27,10667
154,26
34,6903
14,24760
141,40
20,15969
28,9877
37,5256
18,18412
145,34
36,5588
49,3406
40,4484
24,12913
2,50735
129,61
31,8776
9,33389
97,306
38,5109
63,1425
4,45756
6,40901
133,47
78,733
19,16812
146,30
48,3512
59,2193
0,49164
52,2835
13,25813
39,4926
10,31610
25,12162
8,35783
7,38078
12,27742
15,23152
5,43246
132,70
26,11206
60,2001
1,52519
30,8893
109,243
50,3294
21,15047
62,1611
3,48082
32,8095
11,29457
138,24
22,14356
89,279
82,597
55,2526
75,752
65,1321
51,3104
42,4437
57,2318
58,2312
69,951
56,2478
70,976
54,2534
53,2697
61,1691
67,1117
104,247
93,297
77,726
64,1410
113,188
110,247
90,289
68,990
108,257
71,998
86,423
95,330
84,586
92,295
72,951
96,319
111,194
105,255
100,300
66,1212
124,66
88,311
83,589
98,304
103,227
73,893
76,720
81,626
123,69
74,779
80,682
102,208
79,663
107,279
87,366
114,173
119,55
117,91
85,509
94,298
99,318
122,73
