capacity_log2,table_type,load_factor,repetition,phase,num_ops,time_seconds,avg_probes,max_probes
18,linear,0.500000,1,insert,131072,0.001247,1.495796,25
18,linear,0.500000,1,lookup_success,131072,0.001034,1.495796,25
18,linear,0.500000,1,lookup_fail,131072,0.001996,2.483940,40
18,robinhood,0.500000,1,insert,131072,0.001141,1.495796,25
18,robinhood,0.500000,1,lookup_success,131072,0.001086,1.495796,10
18,robinhood,0.500000,1,lookup_fail,131072,0.001760,1.747185,11
18,linear,0.500000,2,insert,131072,0.001311,1.502647,40
18,linear,0.500000,2,lookup_success,131072,0.000909,1.502647,40
18,linear,0.500000,2,lookup_fail,131072,0.001978,2.500298,53
18,robinhood,0.500000,2,insert,131072,0.001155,1.502647,40
18,robinhood,0.500000,2,lookup_success,131072,0.001168,1.502647,10
18,robinhood,0.500000,2,lookup_fail,131072,0.001648,1.750420,11
18,linear,0.500000,3,insert,131072,0.001195,1.498047,26
18,linear,0.500000,3,lookup_success,131072,0.000848,1.498047,26
18,linear,0.500000,3,lookup_fail,131072,0.002358,2.511238,36
18,robinhood,0.500000,3,insert,131072,0.001358,1.498047,26
18,robinhood,0.500000,3,lookup_success,131072,0.001027,1.498047,10
18,robinhood,0.500000,3,lookup_fail,131072,0.001622,1.749199,11
18,linear,0.500000,4,insert,131072,0.001588,1.504967,27
18,linear,0.500000,4,lookup_success,131072,0.001036,1.504967,27
18,linear,0.500000,4,lookup_fail,131072,0.002182,2.507111,37
18,robinhood,0.500000,4,insert,131072,0.001379,1.504967,27
18,robinhood,0.500000,4,lookup_success,131072,0.001104,1.504967,9
18,robinhood,0.500000,4,lookup_fail,131072,0.001647,1.749855,10
18,linear,0.500000,5,insert,131072,0.001541,1.497940,33
18,linear,0.500000,5,lookup_success,131072,0.001017,1.497940,33
18,linear,0.500000,5,lookup_fail,131072,0.002178,2.493629,39
18,robinhood,0.500000,5,insert,131072,0.001118,1.497940,33
18,robinhood,0.500000,5,lookup_success,131072,0.001056,1.497940,9
18,robinhood,0.500000,5,lookup_fail,131072,0.001527,1.748329,10
18,linear,0.500000,6,insert,131072,0.001331,1.499275,29
18,linear,0.500000,6,lookup_success,131072,0.000943,1.499275,29
18,linear,0.500000,6,lookup_fail,131072,0.001862,2.502151,39
18,robinhood,0.500000,6,insert,131072,0.001207,1.499275,29
18,robinhood,0.500000,6,lookup_success,131072,0.001087,1.499275,10
18,robinhood,0.500000,6,lookup_fail,131072,0.001627,1.749031,11
18,linear,0.500000,7,insert,131072,0.001232,1.497780,30
18,linear,0.500000,7,lookup_success,131072,0.000830,1.497780,30
18,linear,0.500000,7,lookup_fail,131072,0.001751,2.504913,41
18,robinhood,0.500000,7,insert,131072,0.001547,1.497780,30
18,robinhood,0.500000,7,lookup_success,131072,0.001066,1.497780,9
18,robinhood,0.500000,7,lookup_fail,131072,0.001520,1.753975,10
18,linear,0.500000,8,insert,131072,0.001372,1.497810,25
18,linear,0.500000,8,lookup_success,131072,0.000836,1.497810,25
18,linear,0.500000,8,lookup_fail,131072,0.002105,2.501549,34
18,robinhood,0.500000,8,insert,131072,0.001843,1.497810,25
18,robinhood,0.500000,8,lookup_success,131072,0.001303,1.497810,8
18,robinhood,0.500000,8,lookup_fail,131072,0.001813,1.750870,9
18,linear,0.500000,9,insert,131072,0.001332,1.510513,28
